SL. NO,EQUIPMENT TAG,EQUIPMENT LOCATION,AREA SERVED,APPLICATION,CAPACITY (CMH / TR),STATIC PRESSURE IN MM / HEAD IN M,EQUIPMENT TYPE,MODEL NO.,POWER INPUT IN KW,QUANTITY,V-PH-Hz,WORKING / STANDBY,PHASE,STARTER TYPE
194,AHU-TBR-07,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK,AIR-CONDITIONING,75,65,AIR HANDLING UNIT,,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
195,AHU-TBR-08,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK,AIR-CONDITIONING,75,65,AIR HANDLING UNIT,,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
196,AHU-TBR-09,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK,AIR-CONDITIONING,75,65,AIR HANDLING UNIT,,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
197,AHU-TBR-10,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK,AIR-CONDITIONING,75,65,AIR HANDLING UNIT,,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
198,AHU-TBR-11,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK,AIR-CONDITIONING,75,65,AIR HANDLING UNIT,,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
199,AHU-TBR-12,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK,AIR-CONDITIONING,75,65,AIR HANDLING UNIT,,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,VFD STARTER
200,AHU-TBR-13,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK,AIR-CONDITIONING,75,65,AIR HANDLING UNIT,,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,VFD STARTER
201,CHWP-9,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK,SECONDARY CHILLED WATER,220,15,LONG-COUPLED CENTRIFUGAL PUMP,NK-,15,1,415V-3Ph-50Hz,WORKING,PHASE-1,VFD STARTER
202,CHWP-10,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK,SECONDARY CHILLED WATER,220,15,LONG-COUPLED CENTRIFUGAL PUMP,NK-,15,1,415V-3Ph-50Hz,WORKING,PHASE-1,VFD STARTER
203,CHWP-18,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK AHU,SECONDARY CHILLED WATER,220,15,LONG-COUPLED CENTRIFUGAL PUMP,NK-,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,VFD STARTER
204,CHWP-19,TBR ABOVE MEZZANINE,TBR TYRE BUILDING / STOCK AHU,SECONDARY CHILLED WATER,220,15,LONG-COUPLED CENTRIFUGAL PUMP,NK-,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,VFD STARTER
205,PWP-6,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,PROCESS WATER,92.5,20,CLOSE-COUPLED CENTRIFUGAL PUMP,NB-,7.5,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
206,PWP-7,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,PROCESS WATER,92.5,20,CLOSE-COUPLED CENTRIFUGAL PUMP,NB-,7.5,1,415V-3Ph-50Hz,STANDBY,PHASE-1,STAR DELTA STARTER WITH MPCB
207,PWP-8,TBR STP,TBR HOT & COLD DUPLEX EXTRUDER LINE,PROCESS WATER,90,50,CLOSE-COUPLED CENTRIFUGAL PUMP,VERTICAL,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
208,PWP-9,TBR STP,TBR HOT & COLD DUPLEX EXTRUDER LINE,PROCESS WATER,90,50,CLOSE-COUPLED CENTRIFUGAL PUMP,VERTICAL,11,1,415V-3Ph-50Hz,STANDBY,PHASE-1,STAR DELTA STARTER WITH MPCB
209,DH-1,TBR CREEL ROOM TERRACE,TBR CREEL ROOM GROUD FLOOR,DE-HUMIDIFICATION,6500,-,DEHUMIDIFIER,FLB,11,1,415V-3Ph-50Hz,STANDBY,PHASE-1,STAR DELTA STARTER WITH MPCB
210,DH-2,TBR CREEL ROOM TERRACE,TBR CREEL ROOM SECOND FLOOR,DE-HUMIDIFICATION,6500,-,DEHUMIDIFIER,FLB,11,1,415V-3Ph-50Hz,STANDBY,PHASE-1,STAR DELTA STARTER WITH MPCB
211,DH-3,TBR CREEL ROOM TERRACE,TBR CREEL ROOM THIRD FLOOR,DE-HUMIDIFICATION,6500,-,DEHUMIDIFIER,FLB,11,1,415V-3Ph-50Hz,STANDBY,PHASE-2,STAR DELTA STARTER WITH MPCB
212,CSAHU ,TBR STP,TBR HOT & COLD EXTRUDER CONTROL ROOM,AIR-CONDITIONING,5,12,CEILING SUSPENDED AHU,,1.1,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
213,CSAHU ,TBR STP,TBR ROLLER HEAD CONTROL ROOM,AIR-CONDITIONING,5,12,CEILING SUSPENDED AHU,,1.1,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
214,CSAHU ,TBR STP,TBR STEEL & FABRIC CONTROL ROOM,AIR-CONDITIONING,5,12,CEILING SUSPENDED AHU,,1.1,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
215,PWP-27,TBR STP,TBR SIDE WALL EXTRUDER,PROCESS WATER,90,50,CLOSE-COUPLED CENTRIFUGAL PUMP,VERTICAL,11,1,415V-3Ph-50Hz,WORKING,PHASE-2,VFD STARTER
216,PWP-28,TBR STP,TBR SIDE WALL EXTRUDER,PROCESS WATER,90,50,CLOSE-COUPLED CENTRIFUGAL PUMP,VERTICAL,11,1,415V-3Ph-50Hz,STANDBY,PHASE-2,VFD STARTER
217,PWP-29,TBR STP,TBR HOT & COLD DUPLEX EXTRUDER LINE,PROCESS WATER,90,50,CLOSE-COUPLED CENTRIFUGAL PUMP,VERTICAL,7.5,1,415V-3Ph-50Hz,WORKING,PHASE-2,VFD STARTER
218,PWP-30,TBR STP,TBR HOT & COLD DUPLEX EXTRUDER LINE,PROCESS WATER,90,50,CLOSE-COUPLED CENTRIFUGAL PUMP,VERTICAL,7.5,1,415V-3Ph-50Hz,STANDBY,PHASE-2,VFD STARTER
219,PWP-23,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,TEMPERED WATER PUMP FOR MILLS,45,25,CLOSE-COUPLED CENTRIFUGAL PUMP,NB-,7.5,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
220,PWP-24,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,TEMPERED WATER PUMP FOR MILLS,45,25,CLOSE-COUPLED CENTRIFUGAL PUMP,NB-,7.5,1,415V-3Ph-50Hz,STANDBY,PHASE-2,STAR DELTA STARTER WITH MPCB
221,CSAHU ,TBR STP,TBR SIDE WALL EXTRUDER CONTROL ROOM,AIR-CONDITIONING,5,12,CEILING SUSPENDED AHU,,1.1,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
222,CSAHU ,TBR STP,TBR HOT & COLD EXTRUDER CONTROL ROOM,AIR-CONDITIONING,5,12,CEILING SUSPENDED AHU,,1.1,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
223,AHU,TBR STP,TBR ROLLER HEAD LINE,CHILLED AIR COOLING,10,-,AIR HANDLING UNIT,-,1.1,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
224,AHU ,TBR STP,TBR SMALL COMPONENT EXTRUDER,CHILLED AIR COOLING,25,-,AIR HANDLING UNIT,-,2.2,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
225,AHU ,TBR STP,TBR DUPLEX APEX,CHILLED AIR COOLING,7,-,AIR HANDLING UNIT,-,1.1,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
226,SA-TSP- 01,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,60435,40,DIDW CENTRIFUGAL FAN,FDA 1000,15,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
227,SA-TSP- 02,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,60435,40,DIDW CENTRIFUGAL FAN,FDA 1000,15,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
228,SA-TSP- 03,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,60435,40,DIDW CENTRIFUGAL FAN,FDA 1000,15,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
229,SA-TSP- 04,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,60435,40,DIDW CENTRIFUGAL FAN,FDA 1000,15,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
230,SA-TSP- 05,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,60435,40,DIDW CENTRIFUGAL FAN,FDA 1000,15,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
231,SA-TSP- 06,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,60435,40,DIDW CENTRIFUGAL FAN,FDA 1000,15,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
232,SA-TSP- 07,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,60435,40,DIDW CENTRIFUGAL FAN,FDA 1000,15,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
233,SA-TSP- 08,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,60435,40,DIDW CENTRIFUGAL FAN,FDA 1000,15,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
234,SA-TSP-09,TBR BELOW MEZZANINE,TBR BELOW MEZZANINE,FRESH AIR SUPPLY,31590,25,CABINET TYPE CENTRIFUGAL FAN,CFT 710,5.5,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
235,SA-TSP-10,TBR BELOW MEZZANINE,TBR BELOW MEZZANINE,FRESH AIR SUPPLY,31590,25,CABINET TYPE CENTRIFUGAL FAN,CFT 710,5.5,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
236,SA-TSP-11,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,61200,40,CABINET TYPE CENTRIFUGAL FAN,CFT 1000 CM,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
237,SA-TSP-12,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,61200,40,CABINET TYPE CENTRIFUGAL FAN,CFT 1000 CM,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
238,SA-TSP-13,TBR STP ABOVE MEZZANINE,TBR STOCK PREPARATION,FRESH AIR SUPPLY,61200,40,CABINET TYPE CENTRIFUGAL FAN,CFT 1000 CM,15,1,415V-3Ph-50Hz,WORKING,PHASE-2,STAR DELTA STARTER WITH MPCB
239,SA-TSP-14,TBR BELOW MEZZANINE,TBR BELOW MEZZAINE,FRESH AIR SUPPLY,31590,25,CABINET TYPE CENTRIFUGAL FAN,CFT 710,5.5,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
240,SA-TSP-15,TBR BELOW MEZZANINE,TBR BELOW MEZZAINE,FRESH AIR SUPPLY,31590,25,CABINET TYPE CENTRIFUGAL FAN,CFT 710,5.5,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
241,EX-TSP-01,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
242,EX-TSP-02,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
243,EX-TSP-03,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
244,EX-TSP-04,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
245,EX-TSP-05,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
246,EX-TSP-06,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
247,EX-TSP-07,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
248,EX-TSP-08,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
249,EX-TSP-09,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
250,EX-TSP-10,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
251,EX-TSP-11,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
252,EX-TSP-12,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
253,EX-TSP-13,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
254,EX-TSP-14,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
255,EX-TSP-15,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
256,EX-TSP-16,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
257,EX-TSP-17,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
258,EX-TSP-18,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
259,EX-TSP-19,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
260,EX-TSP-20,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
261,EX-TSP-21,TBR STP BELOW MEZZAINE,TBR BELOW MEZZAINE,EXHAUST AIR,31590,15,VANE AXIAL FAN,VDA 1000,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
262,EX-TSP-22,TBR STP BELOW MEZZAINE,TBR BELOW MEZZAINE,EXHAUST AIR,31590,15,VANE AXIAL FAN,VDA 1000,4,1,415V-3Ph-50Hz,WORKING,PHASE-1,DOL STARTER WITH MPCB
263,EX-TSP-23,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
264,EX-TSP-24,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
265,EX-TSP-25,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
266,EX-TSP-26,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
267,EX-TSP-27,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
268,EX-TSP-28,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
269,EX-TSP-29,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
270,EX-TSP-30,TBR STP ROOF MONITOR,TBR STOCK PREPARATION,EXHAUST AIR,24174,25,VANE AXIAL FAN,VDA 900,4,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
271,EX-TSP-31,TBR STP BELOW MEZZAINE,TBR BELOW MEZZAINE,EXHAUST AIR,31590,15,VANE AXIAL FAN,VDA 1000,4,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
272,EX-TSP-32,TBR STP BELOW MEZZAINE,TBR BELOW MEZZAINE,EXHAUST AIR,31590,15,VANE AXIAL FAN,VDA 1000,4,1,415V-3Ph-50Hz,WORKING,PHASE-2,DOL STARTER WITH MPCB
273,EX-PCU-01,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
274,EX-PCU-02,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
275,EX-PCU-03,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
276,EX-PCU-04,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
277,EX-PCU-05,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
278,EX-PCU-06,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
279,EX-PCU-07,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
280,EX-PCU-08,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
281,EX-PCU-09,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
282,EX-PCU-10,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
283,EX-PCU-11,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
284,EX-PCU-12,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
285,EX-PCU-13,PCR CURING ROOF MONITOR,PCR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
286,EX-TCU - 01,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
287,EX-TCU - 02,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
288,EX-TCU - 03,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
289,EX-TCU - 04,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
290,EX-TCU - 05,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
291,EX-TCU - 06,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
292,EX-TCU - 07,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
293,EX-TCU - 08,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
294,EX-TCU - 09,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
295,EX-TCU - 10,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
296,EX-TCU - 11,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
297,EX-TCU - 12,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
298,EX-TCU - 13,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
299,EX-TCU - 14,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
300,EX-TCU - 15,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
301,EX-TCU - 16,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
302,EX-TCU - 17,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
303,EX-TCU - 18,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
304,EX-TCU - 19,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
305,EX-TCU - 20,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
306,EX-TCU - 21,TBR CURING ROOF MONITOR,TBR CURING ,EXHAUST AIR,34000,50,VANE AXIAL FAN,VDA 1000,11,1,415V-3Ph-50Hz,WORKING,PHASE-1,STAR DELTA STARTER WITH MPCB
