Name,Level,Rooms,Tandem Category,Classification,Category Name,GUID,Source File,System Class,Temperature (°F),Location,Warranty Start Date,Type of Lighting System,Humidity (%RH),Systems,Comments,Edited by,Eqpt Ref,Equipment No.,Equipment Tag,Image,Mark,Type Name,Workset,Elevation from Level (mm),Host,Level,Offset from Host (mm),CHW Dia (mm),Return Water Diameter (mm),Return Water Radius (mm),Supply Water Diameter (mm),Supply Water Radius (mm),ElementId,A Class PBS,AI_LBS Code,AI_SBS Code,ASSET INSTANCE,Asset_Tag,BUILDING SUFFIX,Functional Unit,Location Group,Lvl1 Comp PBS,Lvl3 Comp PBS Desc,Lvl3 Comp PBS,Primary Functional Unit,Sub Functional Unit,Circuit Number,Panel,Eqpt Load (VA),Load (VA),Motor Speed,Number of Poles,V/P/H,Voltage (V),Export to IFC As,Export to IFC,IFC Predefined Type,IfcGUID,Air Flow (L/s),CHW Flow (L/s),Critical Path,Sensible Cooling Capacity (W),Total Cooling Capacity (W),CHW Entering Temp (°C),CHW Leaving Temp (°C),Cooling Coil Water Pressure Drop (Pa),Drain Flow (L/s),EDB Temperature (°C),EWB Temperature (°C),External Static Pressure (Pa),FAN SPEED,HEAD (Pa),LDB Temperature (°C),LWB Temperature (°C),Power (W),System Classification,System Name,Network_Zone,Speed,view name,View Scale Visibility,FLUID,Heater Stages,SERVICE,TYPE,,
Rectangular Duct,2nd FLOOR - L02,,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-012930a6,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,SAD,ME_ AC & Chilled Water Apartment,,,,,,,,,,19476646,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu5Lc,0,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKTCm
Rectangular Duct,2nd FLOOR - L02,,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-012930a8,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,SAD,ME_ AC & Chilled Water Apartment,,,,,,,,,,19476648,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu5Le,0,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKTCo
Rectangular Duct,2nd FLOOR - L02,,M.Du.Du,,Ducts,20573767-3b54-4034-a0c0-13c65b2cb69a-010870ac,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,SAD,ME_AC,,,,,,,,,,17330348,,,,,,,,,,,,,,,,,,,,,,,By Type,,0WLpTdErH0DA304yPQ9COs,0,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAACBXN2c7VEA0oMATxlsstpoBCHCs
Rectangular Duct,2nd FLOOR - L02,,M.Du.Du,,Ducts,2c174c9a-5f85-48b1-91b9-169838d1b4b9-010c3e13,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,SAD,ME_AC,,,,,,,,,,17579539,,,,,,,,,,,,,,,,,,,,,,,By Type,,0WLpTdErH0DA304yPQ9CTn,0,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAACwXTJpfhUixkbkWmDjRtLkBDD4T
Rectangular Duct,2nd FLOOR - L02,M.BATH 15699,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292deb,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475947,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4Wh,0,,,,,,,,,,,,,,,,,Supply Air,SAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS3r
Rectangular Duct,2nd FLOOR - L02,"M.BATH 15699, M.BEDRM 15698",M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292ded,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475949,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4Wj,0,,,,,,,,,,,,,,,,,Supply Air,SAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS3t
Rectangular Duct,2nd FLOOR - L02,,M.Du.Du,,Ducts,3e0f76ca-a4ed-4c3a-bb9d-dd0e7cc16c8f-012932c8,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,SAD,ME_AC,,,,,,,,,,19477192,,,,,,,,,,,,,,,,,,,,,,,By Type,,0WLpTdErH0DA304yPQ9COs,0,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAD4Pdsqk7Uw6u53dDnzBbI8BKTLI
Rectangular Duct,2nd FLOOR - L02,,M.Du.Du,,Ducts,3e0f76ca-a4ed-4c3a-bb9d-dd0e7cc16c8f-012933a2,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,SAD,ME_ AC & Chilled Water Apartment,,,,,,,,,,19477410,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu5Lc,0,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAD4Pdsqk7Uw6u53dDnzBbI8BKTOi
Rectangular Duct,2nd FLOOR - L02,M.BEDRM 15698,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292dee,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475950,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4Wk,0,,,,,,,,,,,,,,,,,Supply Air,SAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS3u
Rectangular Duct,2nd FLOOR - L02,,M.Du.Du,,Ducts,3e0f76ca-a4ed-4c3a-bb9d-dd0e7cc16c8f-0129353a,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,SAD,ME_ AC & Chilled Water Apartment,,,,,,,,,,19477818,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu5LS,0,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAD4Pdsqk7Uw6u53dDnzBbI8BKTU6
Rectangular Duct,2nd FLOOR - L02,,M.Du.Du,,Ducts,4bdbf7fa-50b6-44be-a8e2-019943352b27-0113f8cd,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,SAD,ME_AC,,,,,,,,,,18086093,,,,,,,,,,,,,,,,,,,,,,,By Type,,0WLpTdErH0DA304yPQ9COs,0,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAEvb9_pQtkS-qOIBmUM1KycBE_jN
Rectangular Duct,2nd FLOOR - L02,,M.Du.Du,,Ducts,4bdbf7fa-50b6-44be-a8e2-019943352b27-0113fcf0,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,SAD,ME_AC,,,,,,,,,,18087152,,,,,,,,,,,,,,,,,,,,,,,By Type,,1Bs$VwKBP4lgZY0Pb29jVN,0,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAEvb9_pQtkS-qOIBmUM1KycBE_zw
Rectangular Duct,2nd FLOOR - L02,,M.Du.Du,,Ducts,4bdbf7fa-50b6-44be-a8e2-019943352b27-0113fd32,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,SAD,ME_AC,,,,,,,,,,18087218,,,,,,,,,,,,,,,,,,,,,,,By Type,,1Bs$VwKBP4lgZY0Pb29jVF,0,,,,,,,,,,,,,,,,,Supply Air,SAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAEvb9_pQtkS-qOIBmUM1KycBE_0y
Rectangular Duct,2nd FLOOR - L02,M.BEDRM 15698,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292df0,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475952,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4Wm,0,,,,,,,,,,,,,,,,,Supply Air,SAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS3w
Rectangular Duct,2nd FLOOR - L02,CORR. 15045,M.Du.Du,,Ducts,5254676a-3ac7-4de7-9d1b-e7101d523c5f-0124f12a,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19198250,,,,,,,,,,,,,,,,,,,,,,,By Type,,1KVs_dH2TENO6JIKLIZABt,0,,,,,,,,,,,,,,,,,Supply Air,SAD 38,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAFJUZ2o6x03nnRvnEB1SPF8BJPEq
Rectangular Duct,2nd FLOOR - L02,M.BATH 15699,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292df4,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Return Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475956,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4Wq,0,,,,,,,,,,,,,,,,,Return Air,RAD 1,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS30
Rectangular Duct,2nd FLOOR - L02,"M.BATH 15699, M.BEDRM 15698",M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292dfa,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Return Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475962,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4Ww,0,,,,,,,,,,,,,,,,,Return Air,RAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS36
Rectangular Duct,2nd FLOOR - L02,BATH 15704,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292dfc,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475964,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4Wy,0,,,,,,,,,,,,,,,,,Supply Air,SAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS38
Rectangular Duct,2nd FLOOR - L02,LIV / DIN 15693,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292dfd,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475965,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4Wz,0,,,,,,,,,,,,,,,,,Supply Air,SAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS39
Rectangular Duct,2nd FLOOR - L02,"BEDRM 1 15153, CORR. 15045",M.Du.Du,,Ducts,547f6fa7-4427-4e5d-8193-494553a8415d-0124e3aa,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19194794,,,,,,,,,,,,,,,,,,,,,,,By Type,,1KVs_dH2TENO6JIKLIZABt,0,,,,,,,,,,,,,,,,,Supply Air,SAD 38,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAFR_b6dEJ05dgZNJRVOoQV0BJOOq
Rectangular Duct,2nd FLOOR - L02,BATH 15161,M.Du.Du,,Ducts,05a8826f-1129-4644-b04e-70856bc697b9-01250a31,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,,Default,ME_Ventilation Apartment,,,,,,,,,,19204657,,,,,,,,,,,,,,,,,,,,,,,By Type,,05g89l4Ib6HB1ES8Lguvs8,0,,,,,,,,,,,,,,,,,Exhaust Air,EAD 30,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAAWogm8RKUZEsE5whWvGl7kBJQox
Rectangular Duct,2nd FLOOR - L02,LIV / DIN 15693,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292dff,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475967,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4W$,0,,,,,,,,,,,,,,,,,Supply Air,SAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS3_
Rectangular Duct,2nd FLOOR - L02,"LIV / DIN 15693, MAID RM. 15705",M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e01,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475969,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4l1,0,,,,,,,,,,,,,,,,,Supply Air,SAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS4B
Rectangular Duct,2nd FLOOR - L02,"BEDRM 2 15696, LIV / DIN 15693",M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e03,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475971,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4l3,0,,,,,,,,,,,,,,,,,Supply Air,SAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS4D
Rectangular Duct,2nd FLOOR - L02,BEDRM 2 15696,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e07,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475975,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4l7,0,,,,,,,,,,,,,,,,,Supply Air,SAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS4H
Rectangular Duct,2nd FLOOR - L02,"BATH 15161, MAID TOI. 15158",M.Du.Du,,Ducts,05a8826f-1129-4644-b04e-70856bc697b9-01250a3b,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,,Default,ME_Ventilation Apartment,,,,,,,,,,19204667,,,,,,,,,,,,,,,,,,,,,,,By Type,,05g89l4Ib6HB1ES8Lguvs2,0,,,,,,,,,,,,,,,,,Exhaust Air,EAD 30,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAAWogm8RKUZEsE5whWvGl7kBJQo7
Rectangular Duct,2nd FLOOR - L02,BEDRM 2 15696,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e0a,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475978,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4lA,0,,,,,,,,,,,,,,,,,Supply Air,SAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS4K
Rectangular Duct,2nd FLOOR - L02,LIV / DIN 15693,M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e0f,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475983,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4lF,0,,,,,,,,,,,,,,,,,Supply Air,SAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS4P
Rectangular Duct,2nd FLOOR - L02,"BATH 15704, LIV / DIN 15693",M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e10,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475984,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4lG,0,,,,,,,,,,,,,,,,,Supply Air,SAD 3,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS4Q
Rectangular Duct,2nd FLOOR - L02,"LIV / DIN 15693, MAID RM. 15705",M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e11,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Return Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475985,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4lH,0,,,,,,,,,,,,,,,,,Return Air,RAD 4,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS4R
Rectangular Duct,2nd FLOOR - L02,"BEDRM 2 15696, LIV / DIN 15693",M.Du.Du,,Ducts,0a4b5ef5-db92-4350-afed-99df31c965c0-01292e12,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Return Air,,,,,,AIRCONDITIONING,,,,,,,,Default,ME_ AC & Chilled Water Apartment,,,,,,,,,,19475986,,,,,,,,,,,,,,,,,,,,,,,By Type,,0AIrxrsv93KA$jcTymu4lI,0,,,,,,,,,,,,,,,,,Return Air,RAD 5,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAApLXvXbkkNQr-2Z3zHJZcABKS4S
Q Line Toilet Roll Holder A44996,,BATH 15704,P.Fi,,Plumbing Fixtures,8da780fa-bd9d-491b-904b-7fce04c0175a-013aa504,DHE-PA9B7-AW-MOD-BLA-L01R02-IDN-XX-0001.rvt,,,,,,,,,,,,,,14579,RollHolder-WithLid-Vitra-QLineSeries-A44996,furniture,0,<not associated>,,,,,,,,20620548,,,,,,,,,,,,,,,,,,,,,,,By Type,,2Dfu3wlPr96v1BVyu5_h9U,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:adsk.dtm:SLVnrBVzQfSRQL4PkZpTSQ,AAAAAI2ngPq9nUkbkEt_zgTAF1oBOqUE
Q Line Toilet Roll Holder A44996,,MAID TOI. 15702,P.Fi,,Plumbing Fixtures,8da780fa-bd9d-491b-904b-7fce04c0175a-013aa507,DHE-PA9B7-AW-MOD-BLA-L01R02-IDN-XX-0001.rvt,,,,,,,,,,,,,,14582,RollHolder-WithLid-Vitra-QLineSeries-A44996,furniture,0,<not associated>,,,,,,,,20620551,,,,,,,,,,,,,,,,,,,,,,,By Type,,2Dfu3wlPr96v1BVyu5_h9T,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:adsk.dtm:SLVnrBVzQfSRQL4PkZpTSQ,AAAAAI2ngPq9nUkbkEt_zgTAF1oBOqUH
Q Line Toilet Roll Holder A44996,,PWD.RM 15703,P.Fi,,Plumbing Fixtures,8da780fa-bd9d-491b-904b-7fce04c0175a-013aa508,DHE-PA9B7-AW-MOD-BLA-L01R02-IDN-XX-0001.rvt,,,,,,,,,,,,,,14583,RollHolder-WithLid-Vitra-QLineSeries-A44996,furniture,0,<not associated>,,,,,,,,20620552,,,,,,,,,,,,,,,,,,,,,,,By Type,,2Dfu3wlPr96v1BVyu5_h9I,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:adsk.dtm:SLVnrBVzQfSRQL4PkZpTSQ,AAAAAI2ngPq9nUkbkEt_zgTAF1oBOqUI
Q Line Toilet Roll Holder A44996,,M.BATH 15699,P.Fi,,Plumbing Fixtures,8da780fa-bd9d-491b-904b-7fce04c0175a-013aa592,DHE-PA9B7-AW-MOD-BLA-L01R02-IDN-XX-0001.rvt,,,,,,,,,,,,,,14592,RollHolder-WithLid-Vitra-QLineSeries-A44996,furniture,0,<not associated>,,,,,,,,20620690,,,,,,,,,,,,,,,,,,,,,,,By Type,,2Dfu3wlPr96v1BVyu5_hB8,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:adsk.dtm:SLVnrBVzQfSRQL4PkZpTSQ,AAAAAI2ngPq9nUkbkEt_zgTAF1oBOqWS
Q Line Toilet Roll Holder A44996,,M.BATH 15155,P.Fi,,Plumbing Fixtures,b696a96f-2281-436a-b189-d2a5771a01a3-00cf9d63,DHE-PA9B7-AW-MOD-BLA-L01R02-IDN-XX-0001.rvt,,,,,,,,,,,,,,13540,RollHolder-WithLid-Vitra-QLineSeries-A44996,furniture,0,<not associated>,,,,,,,,13606243,,,,,,,,,,,,,,,,,,,,,,,By Type,,2sbgbl8e53Qh69qgLtrPp0,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:adsk.dtm:SLVnrBVzQfSRQL4PkZpTSQ,AAAAALaWqW8igUNqsYnSpXcaAaMAz51j
Q Line Toilet Roll Holder A44996,,BATH 15161,P.Fi,,Plumbing Fixtures,d9e81c3a-d417-4a57-8266-928044209755-00b5c98a,DHE-PA9B7-AW-MOD-BLA-L01R02-IDN-XX-0001.rvt,,,,,,,,,,,,,,10456,RollHolder-WithLid-Vitra-QLineSeries-A44996,furniture,0,<not associated>,,,,,,,,11913610,,,,,,,,,,,,,,,,,,,,,,,By Type,,3Pw1mwr1TALu9cae14bLxV,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:adsk.dtm:SLVnrBVzQfSRQL4PkZpTSQ,AAAAANnoHDrUF0pXgmaSgEQgl1UAtcmK
Q Line Toilet Roll Holder A44996,,MAID TOI. 15158,P.Fi,,Plumbing Fixtures,d9e81c3a-d417-4a57-8266-928044209755-00b5c9af,DHE-PA9B7-AW-MOD-BLA-L01R02-IDN-XX-0001.rvt,,,,,,,,,,,,,,14191,RollHolder-WithLid-Vitra-QLineSeries-A44996,furniture,0,<not associated>,,,,,,,,11913647,,,,,,,,,,,,,,,,,,,,,,,By Type,,3Pw1mwr1TALu9cae14bLxw,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:adsk.dtm:SLVnrBVzQfSRQL4PkZpTSQ,AAAAANnoHDrUF0pXgmaSgEQgl1UAtcmv
Q Line Toilet Roll Holder A44996,,PWD.RM 15159,P.Fi,,Plumbing Fixtures,d9e81c3a-d417-4a57-8266-928044209755-00b5c9db,DHE-PA9B7-AW-MOD-BLA-L01R02-IDN-XX-0001.rvt,,,,,,,,,,,,,,14138,RollHolder-WithLid-Vitra-QLineSeries-A44996,furniture,0,<not associated>,,,,,,,,11913691,,,,,,,,,,,,,,,,,,,,,,,By Type,,3Pw1mwr1TALu9cae14bLwE,,,,,,,,,,,,,,,,,,,,,,,,,,,,urn:adsk.dtm:SLVnrBVzQfSRQL4PkZpTSQ,AAAAANnoHDrUF0pXgmaSgEQgl1UAtcnb
Pipe Types,2nd FLOOR - L02,,P.Pi.Pi,,Pipes,95d4fe44-5e5d-4fa4-b710-23faeab839ab-0110f2d9,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Hydronic Return,,,,,,CHILLED WATER ,,,,,,,,CHWR - Chilled Water Return,ME_ AC & Chilled Water Apartment,,,,,,,,,,17887961,,,,,,,,,,,,,,,,,,,,,,,By Type,,0hwmaS3DT5vgzGBxlP_0$k,,,,,,,,,,,,,,,,,,Hydronic Return,CHWS/R 87,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAJXU_kReXU-ktxAj-uq4OasBEPLZ
