Name,Level,Rooms,Tandem Category,Classification,Category Name,GUID,Source File,System Class,Temperature (°F),Location,Warranty Start Date,Type of Lighting System,Humidity (%RH),Systems,Comments,Edited by,Eqpt Ref,Equipment No.,Equipment Tag,Image,Mark,Type Name,Workset,Elevation from Level (mm),Host,Level,Offset from Host (mm),CHW Dia (mm),Return Water Diameter (mm),Return Water Radius (mm),Supply Water Diameter (mm),Supply Water Radius (mm),ElementId,A Class PBS,AI_LBS Code,AI_SBS Code,ASSET INSTANCE,Asset_Tag,BUILDING SUFFIX,Functional Unit,Location Group,Lvl1 Comp PBS,Lvl3 Comp PBS Desc,Lvl3 Comp PBS,Primary Functional Unit,Sub Functional Unit,Circuit Number,Panel,Eqpt Load (VA),Load (VA),Motor Speed,Number of Poles,V/P/H,Voltage (V),Export to IFC As,Export to IFC,IFC Predefined Type,IfcGUID,Air Flow (L/s),CHW Flow (L/s),Critical Path,Sensible Cooling Capacity (W),Total Cooling Capacity (W),CHW Entering Temp (°C),CHW Leaving Temp (°C),Cooling Coil Water Pressure Drop (Pa),Drain Flow (L/s),EDB Temperature (°C),EWB Temperature (°C),External Static Pressure (Pa),FAN SPEED,HEAD (Pa),LDB Temperature (°C),LWB Temperature (°C),Power (W),System Classification,System Name,Network_Zone,Speed,view name,View Scale Visibility,FLUID,Heater Stages,SERVICE,TYPE,,
WC C-SW-01,2nd FLOOR - L02,MAID TOI. 15702,P.Fi,,Plumbing Fixtures,8da780fa-bd9d-491b-904b-7fce04c0175a-013aa533,DHE-PA9B7-AW-MOD-BLA-L01R02-IDN-XX-0001.rvt,"Domestic Cold Water,Sanitary",,,,,,,,,,,,,14585,WC_C-SW-01,furniture,2.16573E-12,Level : 2nd FLOOR - L02,2nd FLOOR - L02,2.16573E-12,,,,,,20620595,,,,,,,,,,,,,,,,,,,,,,,By Type,,2Dfu3wlPr96v1BVyu5_h9f,,,,,,,,,,,,,,,,,,"Sanitary,Domestic Cold Water",,,,,,,,,,urn:adsk.dtm:SLVnrBVzQfSRQL4PkZpTSQ,AAAAAI2ngPq9nUkbkEt_zgTAF1oBOqUz
WC C-SW-01,2nd FLOOR - L02,MAID TOI. 15158,P.Fi,,Plumbing Fixtures,b696a96f-2281-436a-b189-d2a5771a01a3-00cf7890,DHE-PA9B7-AW-MOD-BLA-L01R02-IDN-XX-0001.rvt,"Domestic Cold Water,Sanitary",,,,,,,,,,,,,13476,WC_C-SW-01,furniture,-10,Floor : Porcelain Tile-600x600mm (A-FL-01.1),2nd FLOOR - L02,2.16573E-12,,,,,,13596816,,,,,,,,,,,,,,,,,,,,,,,By Type,,2sbgbl8e53Qh69qgLtrNap,,,,,,,,,,,,,,,,,,"Sanitary,Domestic Cold Water",,,,,,,,,,urn:adsk.dtm:SLVnrBVzQfSRQL4PkZpTSQ,AAAAALaWqW8igUNqsYnSpXcaAaMAz3iQ
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,M.BATH 15155,M.Du.Ac,,Duct Accessories,9354db5d-ada3-42d2-8560-b64f0139ccef-0124da16,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1815,VCD,ME_Ventilation Apartment,3050,,2nd FLOOR - L02,,,,,,,19192342,,,,,,,,,,,,,,,,,,,,,,,By Type,,2JLDjThQD2qeLWjay07HRv,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 30,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAJNU212to0LShWC2TwE5zO8BJNoW
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,MAID TOI. 15158,M.Du.Ac,,Duct Accessories,9354db5d-ada3-42d2-8560-b64f0139ccef-0124da48,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1816,VCD,ME_Ventilation Apartment,3050,,2nd FLOOR - L02,,,,,,,19192392,,,,,,,,,,,,,,,,,,,,,,,By Type,,2JLDjThQD2qeLWjay07HQd,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 30,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAJNU212to0LShWC2TwE5zO8BJNpI
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,BATH 15161,M.Du.Ac,,Duct Accessories,9354db5d-ada3-42d2-8560-b64f0139ccef-0124dad8,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1817,VCD,ME_Ventilation Apartment,3050,,2nd FLOOR - L02,,,,,,,19192536,,,,,,,,,,,,,,,,,,,,,,,By Type,,2JLDjThQD2qeLWjay07HOt,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 30,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAJNU212to0LShWC2TwE5zO8BJNrY
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,KITCHEN 15042,M.Du.Ac,,Duct Accessories,9354db5d-ada3-42d2-8560-b64f0139ccef-0124db35,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1818,VCD,ME_Ventilation Apartment,3075,,2nd FLOOR - L02,,,,,,,19192629,,,,,,,,,,,,,,,,,,,,,,,By Type,,2JLDjThQD2qeLWjay07HVQ,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 30,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAJNU212to0LShWC2TwE5zO8BJNs1
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,PWD.RM 15159,M.Du.Ac,,Duct Accessories,9354db5d-ada3-42d2-8560-b64f0139ccef-0124db4f,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1819,VCD,ME_Ventilation Apartment,3075,,2nd FLOOR - L02,,,,,,,19192655,,,,,,,,,,,,,,,,,,,,,,,By Type,,2JLDjThQD2qeLWjay07HUW,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 30,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAJNU212to0LShWC2TwE5zO8BJNtP
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,UT. 15157,M.Du.Ac,,Duct Accessories,9354db5d-ada3-42d2-8560-b64f0139ccef-0124db69,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1820,VCD,ME_Ventilation Apartment,3075,,2nd FLOOR - L02,,,,,,,19192681,,,,,,,,,,,,,,,,,,,,,,,By Type,,2JLDjThQD2qeLWjay07HU6,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 30,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAJNU212to0LShWC2TwE5zO8BJNtp
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,M.BATH 15155,M.Du.Ac,,Duct Accessories,a92210f1-16bf-4aea-bfbd-304535bc1ff5-012575e9,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Exhaust Air,,,,,,,,,,,,,1840,VCD,ME_Ventilation Apartment,3050,,2nd FLOOR - L02,,,,,,,19232233,,,,,,,,,,,,,,,,,,,,,,,By Type,,2f8X3n5hzAwh_zC4KqcMeS,,,,,,,,,,,,,,,,,,Exhaust Air,EAD 30,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAKkiEPEWv0rqv70wRTW8H_UBJXXp
VAV-Volume Control Damper - Rectangular-XX,2nd FLOOR - L02,CORR. 15045,M.Du.Ac,,Duct Accessories,ad6e386a-85a5-4f81-8a5d-3ce308a09af7-0124a7c8,DHE-PA9B7-PE-MOD-BLA-L02R02-MEC-HV-0001.rvt,Supply Air,,,,,,AIRCONDITIONING,,,,,,,1808,VCD,ME_Chilled Water,2795,,2nd FLOOR - L02,,,,,,,19179464,,,,,,,,,,,,,,,,,,,,,,,By Type,,2jRZXgXQLFWOfTFEC9X3q$,,,,,,,,,,,,,,,,,,Supply Air,SAD 38,,,0,0,,,,,urn:adsk.dtm:JAQmAFUPTsK2GfH7ulGw8Q,AAAAAK1uOGqFpU-Bil084wigmvcBJKfI
